Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
495079220,00000778,false,Rx,0,8,21,30,30,32,AA,AA,AA,AA,
495133395,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
495168659,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
495213099,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
495713088,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
496213077,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
496713057,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
497213055,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
497233343,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
497268757,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
497323541,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
497324502,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
497358612,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
497413494,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
497414533,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
497448593,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
497713028,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
498213022,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
498713016,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
499213013,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
499393453,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
499428798,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
499483461,0000070E,false,Rx,0,8,03,22,06,06,00,00,00,00,
499518811,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
499603454,0000070E,false,Rx,0,8,03,22,06,00,00,00,00,00,
499638850,00000778,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
499693352,0000070E,false,Rx,0,8,03,22,06,08,00,00,00,00,
499694306,0000070E,false,Rx,0,8,03,22,06,08,00,00,00,00,
499712982,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
499718818,00000778,false,Rx,0,8,10,29,62,06,08,00,01,00,
499719087,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
499728692,00000778,false,Rx,0,8,21,02,FF,FF,FF,FF,FF,FF,
499738930,00000778,false,Rx,0,8,22,FF,FF,FF,FF,FF,FF,00,
499748790,00000778,false,Rx,0,8,23,20,00,38,00,4B,FF,FF,
499758709,00000778,false,Rx,0,8,24,FF,FF,FF,FF,FF,FF,FF,
499768809,00000778,false,Rx,0,8,25,FF,FF,FF,FF,FF,FF,FF,
499813425,0000070E,false,Rx,0,8,03,22,6C,02,00,00,00,00,
499838901,00000778,false,Rx,0,8,10,10,62,6C,02,52,4C,48,
499839163,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
499848671,00000778,false,Rx,0,8,21,53,20,20,20,20,20,20,
499858771,00000778,false,Rx,0,8,22,20,20,20,AA,AA,AA,AA,
499903491,0000070E,false,Rx,0,8,03,22,64,02,00,00,00,00,
499928745,00000778,false,Rx,0,8,07,62,64,02,30,31,30,35,
499963473,0000070E,false,Rx,0,8,03,22,66,02,00,00,00,00,
499988911,00000778,false,Rx,0,8,10,0E,62,66,02,35,51,30,
499989173,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
499998747,00000778,false,Rx,0,8,21,39,35,35,35,34,37,42,
500008790,00000778,false,Rx,0,8,22,20,AA,AA,AA,AA,AA,AA,
500053471,0000070E,false,Rx,0,8,03,22,68,02,00,00,00,00,
500079245,00000778,false,Rx,0,8,06,62,68,02,30,34,32,AA,
500113482,0000070E,false,Rx,0,8,03,22,6A,02,00,00,00,00,
500138861,00000778,false,Rx,0,8,10,17,62,6A,02,53,34,59,
500139097,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
500148770,00000778,false,Rx,0,8,21,31,37,4D,30,31,44,30,
500158691,00000778,false,Rx,0,8,22,33,48,30,31,4D,34,34,
500168804,00000778,false,Rx,0,8,23,53,31,37,AA,AA,AA,AA,
500203482,0000070E,false,Rx,0,8,03,22,6C,38,00,00,00,00,
500212969,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
500228968,00000778,false,Rx,0,8,10,10,62,6C,38,4A,33,39,
500229222,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
500238956,00000778,false,Rx,0,8,21,34,20,50,53,32,32,2E,
500248668,00000778,false,Rx,0,8,22,34,30,39,AA,AA,AA,AA,
500293490,0000070E,false,Rx,0,8,03,22,64,38,00,00,00,00,
500318894,00000778,false,Rx,0,8,07,62,64,38,30,30,30,34,
500353473,0000070E,false,Rx,0,8,03,22,66,38,00,00,00,00,
500381277,00000778,false,Rx,0,8,10,0E,62,66,38,38,56,33,
500381530,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
500388902,00000778,false,Rx,0,8,21,39,35,39,35,39,31,41,
500398833,00000778,false,Rx,0,8,22,20,AA,AA,AA,AA,AA,AA,
500443482,0000070E,false,Rx,0,8,03,22,68,38,00,00,00,00,
500468949,00000778,false,Rx,0,8,06,62,68,38,48,30,33,AA,
500503430,0000070E,false,Rx,0,8,03,22,6A,38,00,00,00,00,
500528691,00000778,false,Rx,0,8,10,17,62,6A,38,30,30,30,
500528954,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
500538888,00000778,false,Rx,0,8,21,30,46,53,54,30,30,31,
500548711,00000778,false,Rx,0,8,22,39,53,4C,31,4F,30,30,
500559204,00000778,false,Rx,0,8,23,30,30,30,AA,AA,AA,AA,
500712924,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
501213016,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
501713012,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
501883392,0000070E,false,Rx,0,8,03,19,02,AE,00,00,00,00,
501929118,00000778,false,Rx,0,8,03,7F,19,78,AA,AA,AA,AA,
502212890,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
502598757,00000778,false,Rx,0,8,10,0B,59,02,99,03,1F,02,
502599022,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
502608744,00000778,false,Rx,0,8,21,09,08,08,17,09,AA,AA,
502663395,0000070E,false,Rx,0,8,02,10,01,00,00,00,00,00,
502698759,00000778,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
502712891,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
502993395,00000715,false,Rx,0,8,02,10,03,00,00,00,00,00,
503002068,0000077F,false,Rx,0,8,06,50,03,00,32,01,F4,AA,
503053520,00000715,false,Rx,0,8,03,19,02,AE,00,00,00,00,
503092573,0000077F,false,Rx,0,8,03,7F,19,78,AA,AA,AA,AA,
